preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,1319,417,888,13,249,3,252,184,65,0,0.00016960
Baseline_NoOp,387002,918,501,401,14,255,3,258,190,65,0,0.00017320
Baseline_NoOp,486003,964,638,316,8,251,3,254,186,65,0,0.00017080
Baseline_NoOp,699002,526,203,308,15,249,3,252,184,65,0,0.00016960
Baseline_NoOp,1000004,951,638,296,17,250,3,253,185,65,0,0.00017020
Baseline_NoOp,1205000,958,589,344,24,251,4,255,186,65,0,0.00017320
Baseline_NoOp,1342027,745,430,303,11,250,3,253,185,65,0,0.00017020
Baseline_NoOp,1342078,740,449,276,13,254,3,257,189,65,0,0.00017260
Baseline_NoOp,1398001,1357,516,821,18,254,3,257,189,65,0,0.00017260
Baseline_NoOp,1503002,450,181,255,13,248,3,251,183,65,128,0.00017668
Baseline_NoOp,1503003,453,184,257,11,259,3,262,194,65,192,0.00018712
Baseline_NoOp,1525025,844,473,356,14,251,3,254,186,65,0,0.00017080
Baseline_NoOp,2006001,1072,732,318,21,250,4,254,185,65,128,0.00018028
Baseline_NoOp,2295000,827,507,302,17,253,3,256,188,65,0,0.00017200
Baseline_NoOp,3255000,864,507,321,35,255,3,258,190,65,0,0.00017320
Baseline_NoOp,3378000,958,437,504,16,250,3,253,185,65,0,0.00017020
Baseline_NoOp,3693000,843,407,304,131,250,4,254,185,65,0,0.00017260
Baseline_NoOp,3703001,929,635,278,15,249,4,253,184,65,0,0.00017200
Baseline_NoOp,3711010,1266,433,813,18,250,3,253,185,65,0,0.00017020
Baseline_NoOp,3716000,969,622,331,16,248,3,251,183,65,0,0.00016900
Baseline_NoOp,3742003,1912,503,1395,14,250,4,254,185,65,0,0.00017260
Baseline_NoOp,3939000,797,473,311,12,252,3,255,187,65,0,0.00017140
Baseline_NoOp,3939001,788,634,120,33,250,3,253,185,65,0,0.00017020
Baseline_NoOp,3939002,830,487,328,14,251,3,254,186,65,0,0.00017080
Baseline_NoOp,3947006,1371,557,791,21,251,4,255,186,65,0,0.00017320
Baseline_NoOp,3983001,750,457,268,24,253,4,257,188,65,0,0.00017440
Baseline_NoOp,4265001,931,615,298,17,250,3,253,185,65,128,0.00017788
Baseline_NoOp,4554002,881,398,464,17,250,4,254,185,65,0,0.00017260
Baseline_NoOp,5060000,1017,471,533,11,254,3,257,189,65,0,0.00017260
Baseline_NoOp,5123004,1111,436,655,19,251,4,255,186,65,128,0.00018088
Baseline_NoOp,5385001,1994,604,1376,13,251,3,254,186,65,128,0.00017848
Baseline_NoOp,5388002,1519,560,937,21,248,4,252,183,65,128,0.00017908
