sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,654,184,310,159,99,28,127,34,65,0,0.00013960
235536_93_1,664,178,368,116,208,18,226,78,130,129,0.00020174
548183_82_1,704,191,355,157,304,29,333,109,195,194,0.00030264
61460_4_1,772,185,437,150,424,28,452,164,260,323,0.00039298
153249_69_1,672,184,424,63,533,17,550,208,325,452,0.00045272
20245_103_all,788,171,419,197,631,29,660,241,390,517,0.00055722
192259_1_2,666,190,393,82,739,15,754,284,455,646,0.00060916
99265_8_all,1169,169,816,183,837,32,869,317,520,705,0.00072530
71322_22_2,818,179,499,139,954,22,976,369,585,840,0.00079260
499700_100_3,904,195,499,209,1058,35,1093,408,650,969,0.00090694
396284_77_1,997,176,621,199,1174,37,1211,459,715,1098,0.00100208
77931_92_5,1126,179,825,122,1292,11,1303,512,780,1227,0.00103122
241340_39_3,1533,181,1240,112,1381,22,1403,536,845,1277,0.00112702
198137_74_2,1910,1083,710,115,1486,14,1500,576,910,1421,0.00119246
566893_32_3,1142,190,797,155,1585,22,1607,610,975,1486,0.00128796
505739_66_2,1153,182,830,140,1693,25,1718,653,1040,1615,0.00138070
50159_9_2,1036,175,735,125,1802,21,1823,697,1105,1680,0.00145340
197875_97_4,1001,180,675,145,1912,21,1933,742,1170,1809,0.00154014
572487_38_3,1178,172,744,261,2014,31,2045,779,1235,1938,0.00164608
67952_94_all,1028,162,746,119,2135,21,2156,835,1300,2067,0.00171542
533942_90_1,1049,166,692,190,2237,26,2263,872,1365,2132,0.00180552
513895_95_3,1199,180,865,152,2343,25,2368,913,1430,2261,0.00188746
130966_79_3,1245,189,897,157,2450,24,2474,955,1495,2326,0.00196616
28994_85_1,1092,169,802,120,2555,19,2574,995,1560,2455,0.00203790
285477_117_1,1244,179,930,134,2652,18,2670,1027,1625,2584,0.00211444
429448_5_2,1278,181,953,144,2752,26,2778,1062,1690,2649,0.00221054
124899_45_5,1229,176,899,153,2858,25,2883,1103,1755,2778,0.00229248
81323_25_2,1209,201,802,205,2962,30,2992,1142,1820,2843,0.00238378
346926_28_3,1258,180,934,144,3074,22,3096,1189,1885,2972,0.00245252
21459_18_3,1744,190,1441,112,3179,11,3190,1229,1950,3096,0.00250956
314383_26_4,1707,192,1395,119,3273,15,3288,1258,2015,3152,0.00259192
73694_48_1,1447,186,1137,122,3369,17,3386,1289,2080,3283,0.00267518
265351_80_3,2159,1665,0,0,0,0,0,0,0,0,0.00000000
67259_61_2,1814,1476,0,0,0,0,0,0,0,0,0.00000000
139782_4_4,557,287,0,0,0,0,0,0,0,0,0.00000000
270661_56_3,1428,181,1131,115,3707,15,3722,1367,2340,3360,0.00292980
440610_2_1,485,173,0,0,0,0,0,0,0,0,0.00000000
465422_7_2,491,180,0,0,0,0,0,0,0,0,0.00000000
42308_47_3,510,174,0,0,0,0,0,0,0,0,0.00000000
4360_26_1,552,185,0,0,0,0,0,0,0,0,0.00000000
31671_24_1,542,176,0,0,0,0,0,0,0,0,0.00000000
572769_46_1,564,195,0,0,0,0,0,0,0,0,0.00000000
271586_85_2,593,156,0,0,0,0,0,0,0,0,0.00000000
76101_85_2,547,171,0,0,0,0,0,0,0,0,0.00000000
517805_80_2,2031,195,1716,118,4444,15,4459,1519,2925,3684,0.00350844
87403_19_1,575,189,0,0,0,0,0,0,0,0,0.00000000
24674_76_1,550,202,0,0,0,0,0,0,0,0,0.00000000
184227_61_2,698,178,0,0,0,0,0,0,0,0,0.00000000
171468_80_1,529,189,0,0,0,0,0,0,0,0,0.00000000
414279_97_1,680,170,0,0,0,0,0,0,0,0,0.00000000
