sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
100021_103_1,1648,192,1339,116,97,19,116,32,65,0,0.00011680
100021_103_2,592,202,269,120,98,23,121,33,65,0,0.00012700
100021_103_3,614,185,307,120,100,21,121,35,65,0,0.00012340
100037_80_1,1378,181,1076,121,97,27,124,32,65,0,0.00013600
100037_80_2,660,194,330,135,99,18,117,34,65,0,0.00011560
