technique,image_id,original_pixels_w,original_pixels_h,processed_pixels_w,processed_pixels_h,processed_pixels_total,payload_image_count,original_binary_bytes,processed_binary_bytes,compression_ratio,base64_chars_total,base64_bytes_utf8_total,data_url_bytes_utf8_total,json_bytes_utf8
Baseline_NoOp,COCO_val2014_000000000338.jpg,640,327,640,327,209280,1,81713,81713,1.000000,108952,108952,108975,117076
Baseline_NoOp,COCO_val2014_000000000387.jpg,640,480,640,480,307200,1,166037,166037,1.000000,221384,221384,221407,235708
Baseline_NoOp,COCO_val2014_000000000486.jpg,640,427,640,427,273280,1,217457,217457,1.000000,289944,289944,289967,310698
Baseline_NoOp,COCO_val2014_000000000699.jpg,400,267,400,267,106800,1,30291,30291,1.000000,40388,40388,40411,43167
Baseline_NoOp,COCO_val2014_000000001000.jpg,640,480,640,480,307200,1,321136,321136,1.000000,428184,428184,428207,459993
Baseline_NoOp,COCO_val2014_000000001205.jpg,640,480,640,480,307200,1,291867,291867,1.000000,389156,389156,389179,419760
Baseline_NoOp,COCO_val2014_000000001342.jpg,640,480,640,480,307200,1,121645,121645,1.000000,162196,162196,162219,172525
Baseline_NoOp,COCO_val2014_000000001342.jpg,640,480,640,480,307200,1,121645,121645,1.000000,162196,162196,162219,172525
Baseline_NoOp,COCO_val2014_000000001398.jpg,407,482,407,482,196174,1,168184,168184,1.000000,224248,224248,224271,241022
Baseline_NoOp,COCO_val2014_000000001503.jpg,320,240,320,240,76800,1,15259,15259,1.000000,20348,20348,20371,22122
Baseline_NoOp,COCO_val2014_000000001503.jpg,320,240,320,240,76800,1,15259,15259,1.000000,20348,20348,20371,22122
Baseline_NoOp,COCO_val2014_000000001525.jpg,640,371,640,371,237440,1,135749,135749,1.000000,181000,181000,181023,195614
Baseline_NoOp,COCO_val2014_000000002006.jpg,640,480,640,480,307200,1,202589,202589,1.000000,270120,270120,270143,289174
Baseline_NoOp,COCO_val2014_000000002295.jpg,640,457,640,457,292480,1,187522,187522,1.000000,250032,250032,250055,267206
Baseline_NoOp,COCO_val2014_000000003255.jpg,640,363,640,363,232320,1,159111,159111,1.000000,212148,212148,212171,227127
Baseline_NoOp,COCO_val2014_000000003378.jpg,427,640,427,640,273280,1,91574,91574,1.000000,122100,122100,122123,131839
Baseline_NoOp,COCO_val2014_000000003693.jpg,640,428,640,428,273920,1,103438,103438,1.000000,137920,137920,137943,148404
Baseline_NoOp,COCO_val2014_000000003703.jpg,640,427,640,427,273280,1,241866,241866,1.000000,322488,322488,322511,343727
Baseline_NoOp,COCO_val2014_000000003711.jpg,480,640,480,640,307200,1,88944,88944,1.000000,118592,118592,118615,126121
Baseline_NoOp,COCO_val2014_000000003716.jpg,640,480,640,480,307200,1,222588,222588,1.000000,296784,296784,296807,322223
Baseline_NoOp,COCO_val2014_000000003742.jpg,640,480,640,480,307200,1,161194,161194,1.000000,214928,214928,214951,230757
Baseline_NoOp,COCO_val2014_000000003939.jpg,347,500,347,500,173500,1,147466,147466,1.000000,196624,196624,196647,211548
Baseline_NoOp,COCO_val2014_000000003939.jpg,347,500,347,500,173500,1,147466,147466,1.000000,196624,196624,196647,211548
Baseline_NoOp,COCO_val2014_000000003939.jpg,347,500,347,500,173500,1,147466,147466,1.000000,196624,196624,196647,211548
Baseline_NoOp,COCO_val2014_000000003947.jpg,612,612,612,612,374544,1,158343,158343,1.000000,211124,211124,211147,228433
Baseline_NoOp,COCO_val2014_000000003983.jpg,640,480,640,480,307200,1,134595,134595,1.000000,179460,179460,179483,193409
Baseline_NoOp,COCO_val2014_000000004265.jpg,640,480,640,480,307200,1,244301,244301,1.000000,325736,325736,325759,346735
Baseline_NoOp,COCO_val2014_000000004554.jpg,332,500,332,500,166000,1,90908,90908,1.000000,121212,121212,121235,128721
Baseline_NoOp,COCO_val2014_000000005060.jpg,480,640,480,640,307200,1,157329,157329,1.000000,209772,209772,209795,225931
Baseline_NoOp,COCO_val2014_000000005123.jpg,640,425,640,425,272000,1,124931,124931,1.000000,166576,166576,166599,177825
Baseline_NoOp,COCO_val2014_000000005385.jpg,640,480,640,480,307200,1,268713,268713,1.000000,358284,358284,358307,381498
Baseline_NoOp,COCO_val2014_000000005388.jpg,640,427,640,427,273280,1,228767,228767,1.000000,305024,305024,305047,325113
Baseline_NoOp,COCO_val2014_000000005486.jpg,640,426,640,426,272640,1,211651,211651,1.000000,282204,282204,282227,300983
Baseline_NoOp,COCO_val2014_000000005502.jpg,640,488,640,488,312320,1,179830,179830,1.000000,239776,239776,239799,257640
Baseline_NoOp,COCO_val2014_000000005652.jpg,640,427,640,427,273280,1,114398,114398,1.000000,152532,152532,152555,162811
