sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,797,156,521,120,102,18,120,37,65,0,0.00011740
428305_69_3,734,162,453,118,97,22,119,32,65,0,0.00012400
286212_91_4,1123,150,862,111,96,19,115,31,65,0,0.00011620
58079_34_1,632,153,364,113,100,10,110,35,65,0,0.00009700
119579_102_1,1312,754,442,116,97,10,107,32,65,61,0.00009886
464196_74_all,810,147,545,117,99,21,120,34,65,0,0.00012280
74478_76_1,592,170,291,130,99,22,121,34,65,0,0.00012520
235843_97_2,795,153,513,129,94,18,112,29,65,0,0.00011260
449075_36_3,721,159,442,118,96,16,112,31,65,0,0.00010900
430643_0_3,17021,160,16747,112,102,11,113,37,65,0,0.00010060
