technique,avg_time_ms,samples
Baseline_NoOp,0.184,1000
Bmp,0.840,1000
Jpeg_Q85,1.077,1000
Grayscale,1.320,1000
GazeRoi+GlobalThumb,2.045,1000
Downsampler,2.070,1000
WebP_Lossy_Q75,18.151,1000
SalientRoi+GlobalThumb,24.398,1000
YoloV12SalientRoi+GlobalThumb,224.890,1000
