sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,550,156,288,105,102,18,120,37,65,0,0.00011740
428305_69_3,751,167,467,116,97,20,117,32,65,0,0.00011920
286212_91_4,629,153,361,114,96,18,114,31,65,0,0.00011380
58079_34_1,1020,144,757,117,100,15,115,35,65,0,0.00010900
119579_102_1,802,147,542,112,97,11,108,32,65,0,0.00009760
464196_74_all,647,143,386,117,99,20,119,34,65,0,0.00012040
74478_76_1,1057,160,785,112,99,23,122,34,65,0,0.00012760
235843_97_2,670,152,406,111,94,16,110,29,65,0,0.00010780
449075_36_3,764,167,471,125,96,16,112,31,65,0,0.00010900
430643_0_3,997,170,703,122,102,11,113,37,65,0,0.00010060
