sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
100021_103_1,713,173,426,113,97,24,121,32,65,0,0.00012880
100021_103_2,548,192,243,111,98,21,119,33,65,0,0.00012220
100021_103_3,694,173,402,117,100,17,117,35,65,0,0.00011380
100037_80_1,773,211,452,109,97,16,113,32,65,0,0.00010960
100037_80_2,618,201,287,128,99,24,123,34,65,0,0.00013000
