sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,1278,1278,0,0,256,22,278,191,65,0,0.00054000
428305_69_3,1099,1099,0,0,251,24,275,186,65,0,0.00055375
286212_91_4,1302,1302,0,0,250,21,271,185,65,0,0.00052250
58079_34_1,1090,1090,0,0,254,16,270,189,65,0,0.00047750
119579_102_1,962,962,0,0,251,19,270,186,65,0,0.00050375
464196_74_all,976,976,0,0,253,27,280,188,65,0,0.00058625
74478_76_1,937,937,0,0,253,24,277,188,65,0,0.00055625
235843_97_2,1433,1433,0,0,248,23,271,183,65,0,0.00054000
449075_36_3,1062,1062,0,0,250,20,270,185,65,0,0.00051250
430643_0_3,993,993,0,0,256,18,274,191,65,0,0.00050000
