preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,100021_103_1,745,180,451,113,97,15,112,32,65,0,0.00010720
Baseline_NoOp,100021_103_2,561,175,271,114,98,20,118,33,65,0,0.00011980
Baseline_NoOp,100021_103_3,914,172,629,112,100,17,117,35,65,0,0.00011380
Baseline_NoOp,100037_80_1,600,196,281,122,97,16,113,32,65,0,0.00010960
Baseline_NoOp,100037_80_2,605,190,244,170,99,27,126,34,65,0,0.00013720
Downsampler,100021_103_1,613,151,239,221,97,21,118,32,65,0,0.00012160
Downsampler,100021_103_2,522,152,257,112,98,21,119,33,65,0,0.00012220
Downsampler,100021_103_3,699,159,415,124,100,23,123,35,65,0,0.00012820
Downsampler,100037_80_1,958,151,695,111,97,15,112,32,65,0,0.00010720
Downsampler,100037_80_2,622,150,357,113,99,14,113,34,65,0,0.00010600
Grayscale,100021_103_1,572,169,284,118,97,18,115,32,65,0,0.00011440
Grayscale,100021_103_2,575,171,288,115,98,23,121,33,65,0,0.00012700
Grayscale,100021_103_3,609,212,271,125,100,22,122,35,65,0,0.00012580
Grayscale,100037_80_1,818,190,509,118,97,18,115,32,65,0,0.00011440
Grayscale,100037_80_2,665,192,353,119,99,22,121,34,65,0,0.00012520
Jpeg_Q85,100021_103_1,678,177,387,113,97,17,114,32,65,0,0.00011200
Jpeg_Q85,100021_103_2,627,187,320,119,98,23,121,33,65,0,0.00012700
Jpeg_Q85,100021_103_3,722,179,414,128,100,29,129,35,65,0,0.00014260
Jpeg_Q85,100037_80_1,691,192,380,118,97,21,118,32,65,0,0.00012160
Jpeg_Q85,100037_80_2,609,186,293,129,99,23,122,34,65,0,0.00012760
WebP_Lossy_Q85,100021_103_1,913,220,570,122,97,18,115,32,65,0,0.00011440
WebP_Lossy_Q85,100021_103_2,549,212,209,127,98,25,123,33,65,0,0.00013180
WebP_Lossy_Q85,100021_103_3,640,199,261,179,100,24,124,35,65,0,0.00013060
WebP_Lossy_Q85,100037_80_1,609,229,259,119,97,18,115,32,65,0,0.00011440
WebP_Lossy_Q85,100037_80_2,726,245,352,129,99,22,121,34,65,0,0.00012520
Bmp,100021_103_1,603,0,0,0,0,0,0,0,0,0,0.00000000
Bmp,100021_103_2,459,0,0,0,0,0,0,0,0,0,0.00000000
Bmp,100021_103_3,503,0,0,0,0,0,0,0,0,0,0.00000000
Bmp,100037_80_1,500,0,0,0,0,0,0,0,0,0,0.00000000
Bmp,100037_80_2,475,0,0,0,0,0,0,0,0,0,0.00000000
GazeRoi+GlobalThumb,100021_103_1,927,209,597,120,97,17,114,32,65,0,0.00011200
GazeRoi+GlobalThumb,100021_103_2,559,185,254,119,98,20,118,33,65,0,0.00011980
GazeRoi+GlobalThumb,100021_103_3,982,185,668,128,100,29,129,35,65,0,0.00014260
GazeRoi+GlobalThumb,100037_80_1,609,184,312,112,97,20,117,32,65,0,0.00011920
GazeRoi+GlobalThumb,100037_80_2,773,192,409,171,99,31,130,34,65,0,0.00014680
SalientRoi+GlobalThumb,100021_103_1,816,171,536,108,97,16,113,32,65,0,0.00010960
SalientRoi+GlobalThumb,100021_103_2,1000,187,382,431,98,22,120,33,65,0,0.00012460
SalientRoi+GlobalThumb,100021_103_3,1008,185,707,115,100,18,118,35,65,0,0.00011620
SalientRoi+GlobalThumb,100037_80_1,593,200,271,120,97,16,113,32,65,0,0.00010960
SalientRoi+GlobalThumb,100037_80_2,619,191,317,110,99,23,122,34,65,0,0.00012760
YoloV12SalientRoi+GlobalThumb,100021_103_1,627,186,325,115,97,16,113,32,65,0,0.00010960
YoloV12SalientRoi+GlobalThumb,100021_103_2,828,171,509,146,98,25,123,33,65,0,0.00013180
YoloV12SalientRoi+GlobalThumb,100021_103_3,847,180,513,154,100,30,130,35,65,0,0.00014500
YoloV12SalientRoi+GlobalThumb,100037_80_1,1181,239,828,113,97,21,118,32,65,0,0.00012160
YoloV12SalientRoi+GlobalThumb,100037_80_2,738,194,425,118,99,17,116,34,65,0,0.00011320
