sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,2577,2577,0,0,231,45,276,231,0,0,0.00073875
235536_93_1,1688,1688,0,0,229,19,248,229,0,0,0.00047625
