preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,1181,415,744,21,152,5,157,87,65,0,0.00011620
Baseline_NoOp,387002,796,551,231,14,158,3,161,93,65,0,0.00011500
Baseline_NoOp,486003,1217,650,547,19,154,3,157,89,65,0,0.00011260
Baseline_NoOp,699002,552,227,313,12,152,3,155,87,65,0,0.00011140
Baseline_NoOp,1000004,1332,649,667,15,153,4,157,88,65,0,0.00011440
Downsampler,338002,450,167,264,18,152,4,156,87,65,0,0.00011380
Downsampler,387002,806,146,639,19,158,3,161,93,65,0,0.00011500
Downsampler,486003,620,162,445,12,154,3,157,89,65,0,0.00011260
Downsampler,699002,521,156,353,11,152,3,155,87,65,64,0.00011524
Downsampler,1000004,471,154,299,17,153,4,157,88,65,0,0.00011440
Grayscale,338002,711,320,364,26,152,5,157,87,65,0,0.00011620
Grayscale,387002,1264,404,845,13,158,3,161,93,65,0,0.00011500
Grayscale,486003,911,333,565,12,154,3,157,89,65,0,0.00011260
Grayscale,699002,507,170,315,22,152,3,155,87,65,0,0.00011140
Grayscale,1000004,804,414,374,15,153,3,156,88,65,64,0.00011584
Jpeg_Q85,338002,836,344,478,13,152,4,156,87,65,0,0.00011380
Jpeg_Q85,387002,833,502,309,21,158,3,161,93,65,0,0.00011500
Jpeg_Q85,486003,868,436,419,11,154,3,157,89,65,0,0.00011260
Jpeg_Q85,699002,438,175,252,10,152,3,155,87,65,0,0.00011140
Jpeg_Q85,1000004,864,505,346,12,153,3,156,88,65,0,0.00011200
WebP_Lossy_Q85,338002,807,363,429,14,152,3,155,87,65,0,0.00011140
WebP_Lossy_Q85,387002,772,489,268,14,158,3,161,93,65,0,0.00011500
WebP_Lossy_Q85,486003,846,378,456,12,154,3,157,89,65,0,0.00011260
WebP_Lossy_Q85,699002,857,197,640,19,152,3,155,87,65,0,0.00011140
WebP_Lossy_Q85,1000004,740,466,255,17,153,4,157,88,65,0,0.00011440
GazeRoi+GlobalThumb,338002,963,405,535,22,152,4,156,87,65,0,0.00011380
GazeRoi+GlobalThumb,387002,856,505,338,13,158,3,161,93,65,0,0.00011500
GazeRoi+GlobalThumb,486003,914,542,356,15,154,3,157,89,65,0,0.00011260
GazeRoi+GlobalThumb,699002,875,209,652,13,152,3,155,87,65,0,0.00011140
GazeRoi+GlobalThumb,1000004,1003,628,355,19,153,4,157,88,65,0,0.00011440
SalientRoi+GlobalThumb,338002,658,392,254,11,152,3,155,87,65,0,0.00011140
SalientRoi+GlobalThumb,387002,816,516,288,11,158,3,161,93,65,0,0.00011500
SalientRoi+GlobalThumb,486003,952,620,319,11,154,3,157,89,65,0,0.00011260
SalientRoi+GlobalThumb,699002,551,205,327,18,152,3,155,87,65,0,0.00011140
SalientRoi+GlobalThumb,1000004,885,598,271,15,153,4,157,88,65,0,0.00011440
YoloV12SalientRoi+GlobalThumb,338002,749,339,391,18,152,4,156,87,65,0,0.00011380
YoloV12SalientRoi+GlobalThumb,387002,777,464,300,11,158,3,161,93,65,0,0.00011500
YoloV12SalientRoi+GlobalThumb,486003,750,447,289,13,154,3,157,89,65,0,0.00011260
YoloV12SalientRoi+GlobalThumb,699002,1341,175,1154,11,152,3,155,87,65,0,0.00011140
YoloV12SalientRoi+GlobalThumb,1000004,1475,671,785,19,153,3,156,88,65,0,0.00011200
