sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,1059,182,720,157,99,27,126,34,65,0,0.00013720
235536_93_1,3,0,0,0,0,0,0,0,0,0,0.00000000
548183_82_1,2,0,0,0,0,0,0,0,0,0,0.00000000
61460_4_1,1,0,0,0,207,16,223,77,130,129,0.00019634
153249_69_1,3,0,0,0,0,0,0,0,0,0,0.00000000
20245_103_all,2,1,0,1,301,25,326,106,195,194,0.00029124
192259_1_2,3,0,0,0,0,0,0,0,0,0,0.00000000
99265_8_all,1,1,0,0,417,28,445,157,260,323,0.00038878
71322_22_2,3,0,0,0,0,0,0,0,0,0,0.00000000
499700_100_3,1,1,0,0,526,15,541,201,325,452,0.00044372
