technique,avg_time_ms,samples
Baseline_NoOp,0.173,1000
Bmp,0.874,1000
Jpeg_Q85,1.098,1000
Grayscale,1.484,1000
Downsampler,2.103,1000
WebP_Lossy_Q75,19.233,1000
