sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,1359,170,1020,167,99,32,131,34,65,0,0.00014920
235536_93_1,739,155,472,112,212,18,230,82,130,129,0.00020414
548183_82_1,690,167,411,111,308,25,333,113,195,194,0.00029544
61460_4_1,737,162,462,112,424,21,445,164,260,323,0.00037618
153249_69_1,819,178,528,112,526,17,543,201,325,452,0.00044852
20245_103_all,910,154,587,168,624,29,653,234,390,517,0.00055302
192259_1_2,1028,177,672,177,732,10,742,277,455,646,0.00059296
99265_8_all,801,153,470,177,825,32,857,305,520,711,0.00071846
71322_22_2,920,168,637,114,942,22,964,357,585,840,0.00078540
499700_100_3,821,186,525,109,1046,21,1067,396,650,969,0.00086614
396284_77_1,1031,171,579,281,1148,33,1181,433,715,1034,0.00097304
77931_92_5,923,160,649,112,1262,11,1273,482,780,1163,0.00100938
241340_39_3,1332,185,1038,108,1351,17,1368,506,845,1211,0.00109306
198137_74_2,934,158,664,111,1451,12,1463,541,910,1347,0.00116222
566893_32_3,1386,173,1095,118,1548,22,1570,573,975,1408,0.00126108
505739_66_2,1300,168,1001,130,1656,20,1676,616,1040,1551,0.00134266
50159_9_2,992,161,722,108,1760,20,1780,655,1105,1680,0.00142580
197875_97_4,1492,176,1130,185,1869,21,1890,699,1170,1742,0.00151032
572487_38_3,1228,165,869,193,1971,34,2005,736,1235,1874,0.00162364
67952_94_all,1055,151,796,107,2095,21,2116,795,1300,2003,0.00168758
533942_90_1,1064,191,712,160,2197,26,2223,832,1365,2132,0.00178152
513895_95_3,1074,166,792,116,2303,16,2319,873,1430,2197,0.00183802
130966_79_3,1465,177,1168,120,2401,21,2422,906,1495,2324,0.00192944
28994_85_1,1487,155,1221,109,2503,14,2517,943,1560,2387,0.00199062
285477_117_1,1132,163,823,145,2595,25,2620,970,1625,2510,0.00209260
429448_5_2,1126,171,835,119,2702,21,2723,1012,1690,2585,0.00216470
124899_45_5,1192,169,854,167,2803,26,2829,1048,1755,2714,0.00225804
81323_25_2,1169,165,891,112,2908,19,2927,1088,1820,2779,0.00232114
346926_28_3,2218,171,975,1072,3009,26,3035,1124,1885,2908,0.00241928
21459_18_3,1417,175,1128,113,3118,13,3131,1168,1950,3037,0.00247422
314383_26_4,2033,735,1189,108,3214,15,3229,1199,2015,3102,0.00255352
73694_48_1,1492,196,1145,150,3310,23,3333,1230,2080,3231,0.00265106
265351_80_3,489,174,0,0,0,0,0,0,0,0,0.00000000
67259_61_2,444,165,0,0,0,0,0,0,0,0,0.00000000
139782_4_4,419,155,0,0,0,0,0,0,0,0,0.00000000
270661_56_3,1969,167,1686,115,3654,18,3672,1314,2340,3296,0.00290136
440610_2_1,475,169,0,0,0,0,0,0,0,0,0.00000000
465422_7_2,508,185,0,0,0,0,0,0,0,0,0.00000000
42308_47_3,580,157,0,0,0,0,0,0,0,0,0.00000000
4360_26_1,526,168,0,0,0,0,0,0,0,0,0.00000000
31671_24_1,482,158,0,0,0,0,0,0,0,0,0.00000000
572769_46_1,580,165,0,0,0,0,0,0,0,0,0.00000000
271586_85_2,461,147,0,0,0,0,0,0,0,0,0.00000000
76101_85_2,2314,155,1986,172,4313,25,4338,1453,2860,3611,0.00343646
517805_80_2,707,179,0,0,0,0,0,0,0,0,0.00000000
87403_19_1,629,175,0,0,0,0,0,0,0,0,0.00000000
24674_76_1,565,181,0,0,0,0,0,0,0,0,0.00000000
184227_61_2,544,159,0,0,0,0,0,0,0,0,0.00000000
171468_80_1,522,184,0,0,0,0,0,0,0,0,0.00000000
414279_97_1,526,148,0,0,0,0,0,0,0,0,0.00000000
