technique,avg_time_ms,samples
Baseline_NoOp,0.169,1000
Bmp,0.915,1000
Jpeg_Q85,1.186,1000
Grayscale,1.369,1000
Downsampler,2.162,1000
WebP_Lossy_Q75,19.621,1000
SalientRoi+GlobalThumb,27.664,1000
GazeRoi+GlobalThumb,44.573,1000
