technique,image_id,original_bytes,processed_bytes,compression_ratio
Baseline_NoOp,100603_64_6.jpg,20782,20782,1.000000
Baseline_NoOp,100638_45_1.jpg,13629,13629,1.000000
Baseline_NoOp,100638_45_2.jpg,13629,13629,1.000000
Baseline_NoOp,100638_45_3.jpg,13629,13629,1.000000
Baseline_NoOp,100638_45_4.jpg,13629,13629,1.000000
Baseline_NoOp,100638_45_5.jpg,13629,13629,1.000000
Baseline_NoOp,100667_80_1.jpg,19884,19884,1.000000
Baseline_NoOp,100667_80_all.jpg,19884,19884,1.000000
Baseline_NoOp,100668_102_1.jpg,24575,24575,1.000000
Baseline_NoOp,100668_102_2.jpg,24575,24575,1.000000
Baseline_NoOp,100668_102_3.jpg,24575,24575,1.000000
Baseline_NoOp,100668_102_all.jpg,24575,24575,1.000000
Baseline_NoOp,100669_8_1.jpg,21343,21343,1.000000
Baseline_NoOp,100669_8_2.jpg,21343,21343,1.000000
Baseline_NoOp,100669_8_3.jpg,21343,21343,1.000000
Baseline_NoOp,100669_8_4.jpg,21343,21343,1.000000
Baseline_NoOp,100753_70_1.jpg,22218,22218,1.000000
Baseline_NoOp,100753_70_2.jpg,22218,22218,1.000000
Baseline_NoOp,100753_70_all.jpg,22218,22218,1.000000
Baseline_NoOp,100817_21_1.jpg,21809,21809,1.000000
Baseline_NoOp,100817_21_2.jpg,21809,21809,1.000000
Baseline_NoOp,100817_21_3.jpg,21809,21809,1.000000
Baseline_NoOp,100817_21_4.jpg,21809,21809,1.000000
Baseline_NoOp,10082_58_1.jpg,17179,17179,1.000000
Baseline_NoOp,10082_58_2.jpg,17179,17179,1.000000
Baseline_NoOp,10082_58_3.jpg,17179,17179,1.000000
Baseline_NoOp,10082_58_4.jpg,17179,17179,1.000000
Baseline_NoOp,10082_58_5.jpg,17179,17179,1.000000
Baseline_NoOp,10082_58_6.jpg,17179,17179,1.000000
Baseline_NoOp,100836_35_1.jpg,25970,25970,1.000000
Baseline_NoOp,100836_35_2.jpg,25970,25970,1.000000
Baseline_NoOp,100836_35_3.jpg,25970,25970,1.000000
Baseline_NoOp,100836_35_all.jpg,25970,25970,1.000000
Baseline_NoOp,100850_14_1.jpg,20364,20364,1.000000
Baseline_NoOp,100850_14_2.jpg,20364,20364,1.000000
Baseline_NoOp,100850_14_3.jpg,20364,20364,1.000000
Baseline_NoOp,100850_14_4.jpg,20364,20364,1.000000
Baseline_NoOp,100850_14_5.jpg,20364,20364,1.000000
Baseline_NoOp,100850_14_6.jpg,20364,20364,1.000000
Baseline_NoOp,100850_14_7.jpg,20364,20364,1.000000
Baseline_NoOp,100896_17_1.jpg,23312,23312,1.000000
Baseline_NoOp,100896_17_2.jpg,23312,23312,1.000000
Baseline_NoOp,100896_17_3.jpg,23312,23312,1.000000
Baseline_NoOp,100896_17_4.jpg,23312,23312,1.000000
Baseline_NoOp,100896_17_5.jpg,23312,23312,1.000000
Baseline_NoOp,10094_43_1.jpg,22380,22380,1.000000
Baseline_NoOp,10094_43_2.jpg,22380,22380,1.000000
Baseline_NoOp,10094_43_3.jpg,22380,22380,1.000000
Baseline_NoOp,100990_6_1.jpg,19849,19849,1.000000
Baseline_NoOp,100990_6_2.jpg,19849,19849,1.000000
Baseline_NoOp,100990_6_3.jpg,19849,19849,1.000000
Baseline_NoOp,100990_6_4.jpg,19849,19849,1.000000
Baseline_NoOp,100990_6_5.jpg,19849,19849,1.000000
Baseline_NoOp,100990_6_6.jpg,19849,19849,1.000000
Baseline_NoOp,101038_36_1.jpg,22717,22717,1.000000
Baseline_NoOp,101038_36_2.jpg,22717,22717,1.000000
Baseline_NoOp,101038_36_3.jpg,22717,22717,1.000000
Baseline_NoOp,101038_36_all.jpg,22717,22717,1.000000
Baseline_NoOp,10104_17_1.jpg,18603,18603,1.000000
Baseline_NoOp,10104_17_2.jpg,18603,18603,1.000000
Baseline_NoOp,10104_17_3.jpg,18603,18603,1.000000
Baseline_NoOp,101065_21_1.jpg,24138,24138,1.000000
Baseline_NoOp,101065_21_2.jpg,24138,24138,1.000000
Baseline_NoOp,101090_74_1.jpg,17657,17657,1.000000
Baseline_NoOp,101090_74_2.jpg,17657,17657,1.000000
Baseline_NoOp,101090_74_3.jpg,17657,17657,1.000000
Baseline_NoOp,101090_74_4.jpg,17657,17657,1.000000
Baseline_NoOp,101090_74_5.jpg,17657,17657,1.000000
Baseline_NoOp,101223_39_1.jpg,15445,15445,1.000000
Baseline_NoOp,101223_39_2.jpg,15445,15445,1.000000
Baseline_NoOp,101223_39_all.jpg,15445,15445,1.000000
Baseline_NoOp,101252_33_1.jpg,23067,23067,1.000000
Baseline_NoOp,101252_33_3.jpg,23067,23067,1.000000
Baseline_NoOp,101252_33_4.jpg,23067,23067,1.000000
Baseline_NoOp,101252_33_5.jpg,23067,23067,1.000000
Baseline_NoOp,101252_33_6.jpg,23067,23067,1.000000
Baseline_NoOp,101304_9_1.jpg,15640,15640,1.000000
Baseline_NoOp,101304_9_2.jpg,15640,15640,1.000000
Baseline_NoOp,101304_9_all.jpg,15640,15640,1.000000
Baseline_NoOp,101319_95_1.jpg,21099,21099,1.000000
Baseline_NoOp,101319_95_2.jpg,21099,21099,1.000000
Baseline_NoOp,101319_95_3.jpg,21099,21099,1.000000
Baseline_NoOp,101319_95_4.jpg,21099,21099,1.000000
Baseline_NoOp,101319_95_5.jpg,21099,21099,1.000000
