sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,5300,5300,0,0,116,461,577,51,65,0,0.00019020
428305_69_3,4947,4947,0,0,111,529,640,46,65,0,0.00021715
286212_91_4,2208,2208,0,0,110,208,318,45,65,0,0.00008870
58079_34_1,3895,3895,0,0,114,203,317,49,65,0,0.00008690
119579_102_1,3665,3665,0,0,111,202,313,46,65,0,0.00008635
464196_74_all,4002,4002,0,0,113,406,519,48,65,0,0.00016805
74478_76_1,5832,5832,0,0,113,469,582,48,65,0,0.00019325
235843_97_2,3203,3203,0,0,108,331,439,43,65,0,0.00013780
449075_36_3,5166,5166,0,0,110,522,632,45,65,0,0.00021430
430643_0_3,3025,3025,0,0,116,209,325,51,65,0,0.00008940
