sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,895,208,563,123,99,24,123,34,65,0,0.00013000
235536_93_1,1016,183,708,123,97,16,113,32,65,0,0.00010960
548183_82_1,714,204,333,176,94,32,126,29,65,0,0.00014620
61460_4_1,650,183,325,141,107,24,131,42,65,0,0.00013480
153249_69_1,778,192,474,111,97,16,113,32,65,0,0.00010960
20245_103_all,783,188,448,145,97,23,120,32,65,0,0.00012640
192259_1_2,804,202,490,111,95,10,105,30,65,0,0.00009400
99265_8_all,856,183,483,189,99,34,133,34,65,0,0.00015400
71322_22_2,669,190,356,122,101,20,121,36,65,0,0.00012160
499700_100_3,655,197,309,148,98,27,125,33,65,0,0.00013660
