sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,800,176,486,137,99,28,127,34,65,0,0.00013960
235536_93_1,633,170,350,112,208,18,226,78,130,129,0.00020174
548183_82_1,680,181,340,157,304,27,331,109,195,194,0.00029784
61460_4_1,736,176,408,151,422,28,450,162,260,323,0.00039178
153249_69_1,752,189,452,110,531,16,547,206,325,452,0.00044912
20245_103_all,949,168,604,176,628,29,657,238,390,517,0.00055542
192259_1_2,981,196,674,110,736,10,746,281,455,646,0.00059536
99265_8_all,1046,168,693,184,829,32,861,309,520,708,0.00072068
71322_22_2,1050,169,757,122,946,23,969,361,585,840,0.00079020
499700_100_3,1032,190,712,130,1051,26,1077,401,650,969,0.00088114
