sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,2469,2469,0,0,124,17,141,0,0,0,0.00002720
428305_69_3,1724,1724,0,0,119,19,138,0,0,0,0.00003040
286212_91_4,2586,2586,0,0,118,15,133,0,0,0,0.00002400
58079_34_1,2965,2965,0,0,122,10,132,0,0,0,0.00001600
119579_102_1,1154,1154,0,0,119,9,128,0,0,0,0.00001440
464196_74_all,2678,2678,0,0,121,16,137,0,0,0,0.00002560
74478_76_1,2197,2197,0,0,121,23,144,0,0,0,0.00003680
235843_97_2,826,826,0,0,116,13,129,0,0,0,0.00002080
449075_36_3,750,750,0,0,118,16,134,0,0,0,0.00002560
430643_0_3,1066,1066,0,0,124,10,134,0,0,0,0.00001600
