preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,1394,431,835,126,94,16,110,29,65,0,0.00010780
Baseline_NoOp,387002,2028,495,1428,105,100,17,117,35,65,0,0.00011380
Baseline_NoOp,486003,1410,550,742,117,96,11,107,31,65,0,0.00009700
Baseline_NoOp,699002,582,189,282,111,94,7,101,29,65,0,0.00008620
Baseline_NoOp,1000004,1049,653,281,114,95,18,113,30,65,0,0.00011320
Downsampler,338002,612,157,336,119,94,15,109,29,65,0,0.00010540
Downsampler,387002,792,160,517,114,100,16,116,35,65,0,0.00011140
Downsampler,486003,1190,161,905,124,96,11,107,31,65,0,0.00009700
Downsampler,699002,529,151,265,112,94,7,101,29,65,0,0.00008620
Downsampler,1000004,562,151,286,123,95,20,115,30,65,0,0.00011800
Grayscale,338002,663,302,248,112,94,17,111,29,65,0,0.00011020
Grayscale,387002,810,434,249,126,100,20,120,35,65,0,0.00012100
Grayscale,486003,947,378,458,109,96,11,107,31,65,0,0.00009700
Grayscale,699002,553,183,251,118,94,12,106,29,65,0,0.00009820
Grayscale,1000004,1116,430,567,118,95,18,113,30,65,0,0.00011320
Jpeg_Q85,338002,1098,353,618,126,94,20,114,29,65,0,0.00011740
Jpeg_Q85,387002,1118,472,529,116,100,17,117,35,65,0,0.00011380
Jpeg_Q85,486003,965,453,392,119,96,9,105,31,65,0,0.00009220
Jpeg_Q85,699002,729,177,438,112,94,14,108,29,65,0,0.00010300
Jpeg_Q85,1000004,1261,655,492,112,95,20,115,30,65,0,0.00011800
WebP_Lossy_Q85,338002,916,336,427,152,94,17,111,29,65,0,0.00011020
WebP_Lossy_Q85,387002,1925,465,1343,117,100,16,116,35,65,0,0.00011140
WebP_Lossy_Q85,486003,746,412,214,119,96,11,107,31,65,0,0.00009700
WebP_Lossy_Q85,699002,634,241,357,35,94,7,101,29,65,0,0.00008620
WebP_Lossy_Q85,1000004,1072,470,474,128,95,19,114,30,65,0,0.00011560
GazeRoi+GlobalThumb,338002,881,413,348,118,94,17,111,29,65,0,0.00011020
GazeRoi+GlobalThumb,387002,1177,512,541,123,100,17,117,35,65,0,0.00011380
GazeRoi+GlobalThumb,486003,1285,540,630,114,96,11,107,31,65,0,0.00009700
GazeRoi+GlobalThumb,699002,725,192,420,112,94,7,101,29,65,0,0.00008620
GazeRoi+GlobalThumb,1000004,1254,598,542,113,95,16,111,30,65,0,0.00010840
