preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,1435,400,1016,18,532,3,535,209,323,0,0.00039100
Baseline_NoOp,387002,1735,481,1247,7,538,3,541,215,323,0,0.00039460
Baseline_NoOp,486003,977,520,443,12,534,3,537,211,323,0,0.00039220
Baseline_NoOp,699002,1989,201,1785,2,393,3,396,199,194,0,0.00028180
Baseline_NoOp,1000004,1054,637,408,7,533,3,536,210,323,0,0.00039160
Baseline_NoOp,1205000,1067,654,390,21,534,4,538,211,323,0,0.00039460
Baseline_NoOp,1342027,861,441,403,16,533,3,536,210,323,0,0.00039160
Baseline_NoOp,1342078,1368,445,911,11,537,3,540,214,323,0,0.00039400
Baseline_NoOp,1398001,993,602,374,16,398,3,401,204,194,0,0.00028480
Baseline_NoOp,1503002,863,175,678,9,392,3,395,198,194,0,0.00028120
Baseline_NoOp,1503003,884,168,702,13,403,3,406,209,194,0,0.00028780
Baseline_NoOp,1525025,1149,513,622,12,534,3,537,211,323,0,0.00039220
Baseline_NoOp,2006001,993,513,466,13,533,4,537,210,323,0,0.00039400
Baseline_NoOp,2295000,1233,552,680,0,536,3,539,213,323,0,0.00039340
Baseline_NoOp,3255000,1052,477,560,13,538,3,541,215,323,0,0.00039460
Baseline_NoOp,3378000,934,445,474,14,533,3,536,210,323,0,0.00039160
Baseline_NoOp,3693000,871,450,398,22,533,4,537,210,323,0,0.00039400
Baseline_NoOp,3703001,1079,592,468,18,532,4,536,209,323,0,0.00039340
Baseline_NoOp,3711010,885,391,473,21,533,3,536,210,323,0,0.00039160
Baseline_NoOp,3716000,1031,590,422,18,531,3,534,208,323,0,0.00039040
Baseline_NoOp,3742003,962,561,381,19,533,4,537,210,323,0,0.00039400
Baseline_NoOp,3939000,811,457,342,11,396,3,399,202,194,0,0.00028360
Baseline_NoOp,3939001,984,497,473,13,394,3,397,200,194,0,0.00028240
Baseline_NoOp,3939002,982,462,502,16,395,3,398,201,194,0,0.00028300
Baseline_NoOp,3947006,1246,649,579,17,395,4,399,201,194,0,0.00028540
Baseline_NoOp,3983001,874,437,417,19,536,4,540,213,323,0,0.00039580
Baseline_NoOp,4265001,1223,634,570,18,533,4,537,210,323,0,0.00039400
Baseline_NoOp,4554002,733,424,288,20,394,4,398,200,194,0,0.00028480
Baseline_NoOp,5060000,928,483,434,10,537,3,540,214,323,0,0.00039400
Baseline_NoOp,5123004,972,461,491,19,534,4,538,211,323,0,0.00039460
Baseline_NoOp,5385001,1164,632,519,12,534,3,537,211,323,0,0.00039220
Baseline_NoOp,5388002,1271,643,605,23,531,4,535,208,323,0,0.00039280
Baseline_NoOp,5486002,1133,628,490,13,532,3,535,209,323,0,0.00039100
Baseline_NoOp,5502000,2119,511,1593,14,534,4,538,211,323,0,0.00039460
Baseline_NoOp,5652001,913,429,471,13,536,3,539,213,323,0,0.00039340
Baseline_NoOp,5694002,1368,481,862,24,531,5,536,208,323,0,0.00039520
Baseline_NoOp,5816002,948,495,442,10,534,3,537,211,323,0,0.00039220
Baseline_NoOp,5992000,1137,506,614,16,532,3,535,209,323,0,0.00039100
Baseline_NoOp,6040004,855,490,352,13,536,3,539,213,323,0,0.00039340
Baseline_NoOp,6471007,702,402,285,14,393,3,396,199,194,0,0.00028180
Baseline_NoOp,6580000,1634,533,1086,15,533,3,536,210,323,0,0.00039160
Baseline_NoOp,6580003,1117,748,361,8,534,3,537,211,323,0,0.00039220
Baseline_NoOp,6771003,953,456,477,19,532,3,535,209,323,0,0.00039100
