technique,image_id,time_ms
Baseline_NoOp,COCO_val2014_000000000338.jpg,0.280
Baseline_NoOp,COCO_val2014_000000000387.jpg,0.807
Baseline_NoOp,COCO_val2014_000000000486.jpg,1.388
Baseline_NoOp,COCO_val2014_000000000699.jpg,0.273
Baseline_NoOp,COCO_val2014_000000001000.jpg,1.678
Baseline_NoOp,COCO_val2014_000000001205.jpg,1.263
Baseline_NoOp,COCO_val2014_000000001342.jpg,0.640
Baseline_NoOp,COCO_val2014_000000001342.jpg,0.589
Baseline_NoOp,COCO_val2014_000000001398.jpg,0.867
Baseline_NoOp,COCO_val2014_000000001503.jpg,0.140
Baseline_NoOp,COCO_val2014_000000001503.jpg,0.146
Baseline_NoOp,COCO_val2014_000000001525.jpg,0.686
Baseline_NoOp,COCO_val2014_000000002006.jpg,0.961
Baseline_NoOp,COCO_val2014_000000002295.jpg,0.973
Baseline_NoOp,COCO_val2014_000000003255.jpg,0.364
Baseline_NoOp,COCO_val2014_000000003378.jpg,0.293
Baseline_NoOp,COCO_val2014_000000003693.jpg,0.280
Baseline_NoOp,COCO_val2014_000000003703.jpg,0.440
Baseline_NoOp,COCO_val2014_000000003711.jpg,1.134
Baseline_NoOp,COCO_val2014_000000003716.jpg,0.461
Baseline_NoOp,COCO_val2014_000000003742.jpg,0.422
Baseline_NoOp,COCO_val2014_000000003939.jpg,0.398
Baseline_NoOp,COCO_val2014_000000003939.jpg,0.339
Baseline_NoOp,COCO_val2014_000000003939.jpg,0.354
Baseline_NoOp,COCO_val2014_000000003947.jpg,0.363
Baseline_NoOp,COCO_val2014_000000003983.jpg,0.866
Baseline_NoOp,COCO_val2014_000000004265.jpg,1.409
Baseline_NoOp,COCO_val2014_000000004554.jpg,0.355
Baseline_NoOp,COCO_val2014_000000005060.jpg,0.378
Baseline_NoOp,COCO_val2014_000000005123.jpg,0.332
Baseline_NoOp,COCO_val2014_000000005385.jpg,0.521
Baseline_NoOp,COCO_val2014_000000005388.jpg,0.443
Baseline_NoOp,COCO_val2014_000000005486.jpg,0.490
Baseline_NoOp,COCO_val2014_000000005502.jpg,0.375
Baseline_NoOp,COCO_val2014_000000005652.jpg,0.349
Baseline_NoOp,COCO_val2014_000000005694.jpg,0.366
Baseline_NoOp,COCO_val2014_000000005816.jpg,0.368
Baseline_NoOp,COCO_val2014_000000005992.jpg,0.455
Baseline_NoOp,COCO_val2014_000000006040.jpg,0.718
Baseline_NoOp,COCO_val2014_000000006471.jpg,0.638
Baseline_NoOp,COCO_val2014_000000006580.jpg,1.602
Baseline_NoOp,COCO_val2014_000000006580.jpg,0.495
Baseline_NoOp,COCO_val2014_000000006771.jpg,0.350
Baseline_NoOp,COCO_val2014_000000006871.jpg,0.402
Baseline_NoOp,COCO_val2014_000000007072.jpg,0.315
Baseline_NoOp,COCO_val2014_000000007570.jpg,0.441
Baseline_NoOp,COCO_val2014_000000007726.jpg,0.556
Baseline_NoOp,COCO_val2014_000000007938.jpg,0.613
Baseline_NoOp,COCO_val2014_000000007938.jpg,0.335
Baseline_NoOp,COCO_val2014_000000007938.jpg,0.328
Baseline_NoOp,COCO_val2014_000000008065.jpg,0.778
Baseline_NoOp,COCO_val2014_000000008065.jpg,0.311
Baseline_NoOp,COCO_val2014_000000008204.jpg,0.866
Baseline_NoOp,COCO_val2014_000000008401.jpg,1.313
Baseline_NoOp,COCO_val2014_000000008583.jpg,0.735
Baseline_NoOp,COCO_val2014_000000008771.jpg,0.265
Baseline_NoOp,COCO_val2014_000000008803.jpg,0.797
Baseline_NoOp,COCO_val2014_000000008899.jpg,1.505
Baseline_NoOp,COCO_val2014_000000009156.jpg,0.782
Baseline_NoOp,COCO_val2014_000000009236.jpg,0.712
Baseline_NoOp,COCO_val2014_000000009236.jpg,0.311
Baseline_NoOp,COCO_val2014_000000009729.jpg,0.226
Baseline_NoOp,COCO_val2014_000000009729.jpg,0.179
Baseline_NoOp,COCO_val2014_000000009769.jpg,1.402
Baseline_NoOp,COCO_val2014_000000009800.jpg,1.010
Baseline_NoOp,COCO_val2014_000000009800.jpg,0.778
Baseline_NoOp,COCO_val2014_000000010023.jpg,1.084
Baseline_NoOp,COCO_val2014_000000010216.jpg,1.346
Baseline_NoOp,COCO_val2014_000000010534.jpg,1.665
Baseline_NoOp,COCO_val2014_000000010793.jpg,0.800
Baseline_NoOp,COCO_val2014_000000010920.jpg,0.885
Baseline_NoOp,COCO_val2014_000000011184.jpg,0.718
Baseline_NoOp,COCO_val2014_000000011291.jpg,0.948
Baseline_NoOp,COCO_val2014_000000011364.jpg,1.125
Baseline_NoOp,COCO_val2014_000000012047.jpg,0.686
Baseline_NoOp,COCO_val2014_000000012062.jpg,1.223
Baseline_NoOp,COCO_val2014_000000012085.jpg,0.587
Baseline_NoOp,COCO_val2014_000000012230.jpg,0.801
Baseline_NoOp,COCO_val2014_000000012238.jpg,0.745
Baseline_NoOp,COCO_val2014_000000012448.jpg,0.712
Baseline_NoOp,COCO_val2014_000000012455.jpg,0.997
Baseline_NoOp,COCO_val2014_000000012543.jpg,1.059
Baseline_NoOp,COCO_val2014_000000012700.jpg,2.338
Baseline_NoOp,COCO_val2014_000000012733.jpg,0.711
Baseline_NoOp,COCO_val2014_000000012764.jpg,0.732
Baseline_NoOp,COCO_val2014_000000013031.jpg,0.613
Baseline_NoOp,COCO_val2014_000000013414.jpg,0.767
Baseline_NoOp,COCO_val2014_000000013490.jpg,0.749
Baseline_NoOp,COCO_val2014_000000013991.jpg,1.632
Baseline_NoOp,COCO_val2014_000000014056.jpg,0.819
Baseline_NoOp,COCO_val2014_000000014088.jpg,0.806
Baseline_NoOp,COCO_val2014_000000014151.jpg,0.641
Baseline_NoOp,COCO_val2014_000000014226.jpg,0.581
Baseline_NoOp,COCO_val2014_000000014226.jpg,0.260
Baseline_NoOp,COCO_val2014_000000014226.jpg,0.234
Baseline_NoOp,COCO_val2014_000000014282.jpg,0.721
Baseline_NoOp,COCO_val2014_000000014321.jpg,0.777
Baseline_NoOp,COCO_val2014_000000014353.jpg,1.734
Baseline_NoOp,COCO_val2014_000000014392.jpg,1.099
Baseline_NoOp,COCO_val2014_000000014439.jpg,1.450
Baseline_NoOp,COCO_val2014_000000014450.jpg,1.247
Baseline_NoOp,COCO_val2014_000000014733.jpg,1.393
Baseline_NoOp,COCO_val2014_000000014821.jpg,0.791
Baseline_NoOp,COCO_val2014_000000014892.jpg,0.648
Baseline_NoOp,COCO_val2014_000000015140.jpg,0.806
Baseline_NoOp,COCO_val2014_000000015301.jpg,1.501
Baseline_NoOp,COCO_val2014_000000015335.jpg,1.192
Baseline_NoOp,COCO_val2014_000000015335.jpg,0.458
Baseline_NoOp,COCO_val2014_000000015542.jpg,0.996
Baseline_NoOp,COCO_val2014_000000015614.jpg,2.441
Baseline_NoOp,COCO_val2014_000000015681.jpg,1.826
Baseline_NoOp,COCO_val2014_000000015810.jpg,0.884
Baseline_NoOp,COCO_val2014_000000015827.jpg,1.667
Baseline_NoOp,COCO_val2014_000000015850.jpg,0.870
Baseline_NoOp,COCO_val2014_000000015850.jpg,0.344
Baseline_NoOp,COCO_val2014_000000015850.jpg,0.341
Baseline_NoOp,COCO_val2014_000000015850.jpg,0.369
Baseline_NoOp,COCO_val2014_000000015883.jpg,0.887
Baseline_NoOp,COCO_val2014_000000016010.jpg,0.854
Baseline_NoOp,COCO_val2014_000000016180.jpg,0.766
Baseline_NoOp,COCO_val2014_000000016491.jpg,1.197
Baseline_NoOp,COCO_val2014_000000016593.jpg,0.208
Baseline_NoOp,COCO_val2014_000000016593.jpg,0.167
Baseline_NoOp,COCO_val2014_000000016879.jpg,1.026
Baseline_NoOp,COCO_val2014_000000016896.jpg,1.161
Baseline_NoOp,COCO_val2014_000000016897.jpg,1.529
Baseline_NoOp,COCO_val2014_000000016961.jpg,1.840
Baseline_NoOp,COCO_val2014_000000017152.jpg,1.654
Baseline_NoOp,COCO_val2014_000000017364.jpg,1.183
Baseline_NoOp,COCO_val2014_000000017365.jpg,0.890
Baseline_NoOp,COCO_val2014_000000017482.jpg,3.259
Baseline_NoOp,COCO_val2014_000000017613.jpg,0.653
Baseline_NoOp,COCO_val2014_000000017613.jpg,0.222
Baseline_NoOp,COCO_val2014_000000017708.jpg,1.261
Baseline_NoOp,COCO_val2014_000000017714.jpg,0.785
Baseline_NoOp,COCO_val2014_000000017927.jpg,0.775
Baseline_NoOp,COCO_val2014_000000017966.jpg,0.907
Baseline_NoOp,COCO_val2014_000000018224.jpg,1.106
Baseline_NoOp,COCO_val2014_000000018336.jpg,0.793
Baseline_NoOp,COCO_val2014_000000018687.jpg,1.783
Baseline_NoOp,COCO_val2014_000000018728.jpg,0.183
Baseline_NoOp,COCO_val2014_000000019322.jpg,1.933
Baseline_NoOp,COCO_val2014_000000019447.jpg,1.683
Baseline_NoOp,COCO_val2014_000000019455.jpg,0.738
Baseline_NoOp,COCO_val2014_000000019559.jpg,0.975
Baseline_NoOp,COCO_val2014_000000019817.jpg,0.913
Baseline_NoOp,COCO_val2014_000000020207.jpg,1.000
Baseline_NoOp,COCO_val2014_000000020381.jpg,2.187
Baseline_NoOp,COCO_val2014_000000020395.jpg,0.723
Baseline_NoOp,COCO_val2014_000000020438.jpg,0.485
Baseline_NoOp,COCO_val2014_000000020598.jpg,0.849
Baseline_NoOp,COCO_val2014_000000020796.jpg,0.578
Baseline_NoOp,COCO_val2014_000000021161.jpg,0.447
Baseline_NoOp,COCO_val2014_000000021284.jpg,0.785
Baseline_NoOp,COCO_val2014_000000021397.jpg,0.773
Baseline_NoOp,COCO_val2014_000000021639.jpg,0.570
Baseline_NoOp,COCO_val2014_000000021688.jpg,0.739
Baseline_NoOp,COCO_val2014_000000021979.jpg,0.596
Baseline_NoOp,COCO_val2014_000000021993.jpg,1.284
Baseline_NoOp,COCO_val2014_000000021994.jpg,1.687
Baseline_NoOp,COCO_val2014_000000022072.jpg,1.640
Baseline_NoOp,COCO_val2014_000000022191.jpg,1.388
Baseline_NoOp,COCO_val2014_000000022215.jpg,1.887
Baseline_NoOp,COCO_val2014_000000022341.jpg,0.924
Baseline_NoOp,COCO_val2014_000000022775.jpg,0.953
Baseline_NoOp,COCO_val2014_000000022963.jpg,1.708
Baseline_NoOp,COCO_val2014_000000023121.jpg,1.123
Baseline_NoOp,COCO_val2014_000000024458.jpg,1.231
Baseline_NoOp,COCO_val2014_000000024553.jpg,0.573
Baseline_NoOp,COCO_val2014_000000024566.jpg,1.257
Baseline_NoOp,COCO_val2014_000000024744.jpg,0.928
Baseline_NoOp,COCO_val2014_000000024790.jpg,0.724
Baseline_NoOp,COCO_val2014_000000024790.jpg,0.226
Baseline_NoOp,COCO_val2014_000000024805.jpg,0.570
Baseline_NoOp,COCO_val2014_000000024880.jpg,0.526
Baseline_NoOp,COCO_val2014_000000025139.jpg,0.680
Baseline_NoOp,COCO_val2014_000000025216.jpg,2.297
Baseline_NoOp,COCO_val2014_000000025252.jpg,0.970
Baseline_NoOp,COCO_val2014_000000025252.jpg,0.714
Baseline_NoOp,COCO_val2014_000000025282.jpg,2.004
Baseline_NoOp,COCO_val2014_000000025453.jpg,1.766
Baseline_NoOp,COCO_val2014_000000025457.jpg,2.053
Baseline_NoOp,COCO_val2014_000000025508.jpg,1.034
Baseline_NoOp,COCO_val2014_000000025685.jpg,1.443
Baseline_NoOp,COCO_val2014_000000025986.jpg,0.700
Baseline_NoOp,COCO_val2014_000000025997.jpg,0.868
Baseline_NoOp,COCO_val2014_000000025997.jpg,0.255
Baseline_NoOp,COCO_val2014_000000026371.jpg,0.499
Baseline_NoOp,COCO_val2014_000000026522.jpg,0.782
Baseline_NoOp,COCO_val2014_000000026564.jpg,0.580
Baseline_NoOp,COCO_val2014_000000026584.jpg,0.482
Baseline_NoOp,COCO_val2014_000000026671.jpg,0.535
Baseline_NoOp,COCO_val2014_000000026768.jpg,0.890
Baseline_NoOp,COCO_val2014_000000026982.jpg,0.978
Baseline_NoOp,COCO_val2014_000000027476.jpg,2.016
Baseline_NoOp,COCO_val2014_000000027478.jpg,1.656
Baseline_NoOp,COCO_val2014_000000027478.jpg,1.176
Baseline_NoOp,COCO_val2014_000000027484.jpg,1.583
Baseline_NoOp,COCO_val2014_000000027570.jpg,0.350
Baseline_NoOp,COCO_val2014_000000027617.jpg,1.429
Baseline_NoOp,COCO_val2014_000000027897.jpg,0.499
Baseline_NoOp,COCO_val2014_000000027975.jpg,1.145
Baseline_NoOp,COCO_val2014_000000028071.jpg,1.339
Baseline_NoOp,COCO_val2014_000000028293.jpg,0.623
Baseline_NoOp,COCO_val2014_000000028389.jpg,0.528
Baseline_NoOp,COCO_val2014_000000028535.jpg,0.789
Baseline_NoOp,COCO_val2014_000000028874.jpg,0.412
Baseline_NoOp,COCO_val2014_000000029059.jpg,0.593
Baseline_NoOp,COCO_val2014_000000029393.jpg,0.663
Baseline_NoOp,COCO_val2014_000000029444.jpg,0.654
Baseline_NoOp,COCO_val2014_000000029524.jpg,0.758
Baseline_NoOp,COCO_val2014_000000029709.jpg,0.679
Baseline_NoOp,COCO_val2014_000000029776.jpg,0.778
Baseline_NoOp,COCO_val2014_000000030044.jpg,1.284
Baseline_NoOp,COCO_val2014_000000030062.jpg,0.791
Baseline_NoOp,COCO_val2014_000000030198.jpg,1.095
Baseline_NoOp,COCO_val2014_000000030470.jpg,1.290
Baseline_NoOp,COCO_val2014_000000030470.jpg,0.676
Baseline_NoOp,COCO_val2014_000000030548.jpg,0.689
Baseline_NoOp,COCO_val2014_000000030675.jpg,1.500
Baseline_NoOp,COCO_val2014_000000030828.jpg,0.859
Baseline_NoOp,COCO_val2014_000000030843.jpg,0.950
Baseline_NoOp,COCO_val2014_000000031000.jpg,0.506
Baseline_NoOp,COCO_val2014_000000031217.jpg,0.917
Baseline_NoOp,COCO_val2014_000000031368.jpg,0.718
Baseline_NoOp,COCO_val2014_000000031471.jpg,0.878
Baseline_NoOp,COCO_val2014_000000031980.jpg,0.246
Baseline_NoOp,COCO_val2014_000000032039.jpg,0.878
Baseline_NoOp,COCO_val2014_000000032625.jpg,0.479
Baseline_NoOp,COCO_val2014_000000032677.jpg,1.073
Baseline_NoOp,COCO_val2014_000000032708.jpg,1.009
Baseline_NoOp,COCO_val2014_000000032901.jpg,1.463
Baseline_NoOp,COCO_val2014_000000032952.jpg,1.773
Baseline_NoOp,COCO_val2014_000000032960.jpg,0.792
Baseline_NoOp,COCO_val2014_000000033008.jpg,0.715
Baseline_NoOp,COCO_val2014_000000033073.jpg,0.639
Baseline_NoOp,COCO_val2014_000000033377.jpg,0.794
Baseline_NoOp,COCO_val2014_000000033441.jpg,0.608
Baseline_NoOp,COCO_val2014_000000033626.jpg,0.657
Baseline_NoOp,COCO_val2014_000000033717.jpg,0.704
Baseline_NoOp,COCO_val2014_000000033835.jpg,0.460
Baseline_NoOp,COCO_val2014_000000033904.jpg,0.627
Baseline_NoOp,COCO_val2014_000000034015.jpg,0.641
Baseline_NoOp,COCO_val2014_000000034869.jpg,2.153
Baseline_NoOp,COCO_val2014_000000035279.jpg,1.518
Baseline_NoOp,COCO_val2014_000000035313.jpg,1.139
Baseline_NoOp,COCO_val2014_000000035326.jpg,0.495
Baseline_NoOp,COCO_val2014_000000035328.jpg,0.629
Baseline_NoOp,COCO_val2014_000000035963.jpg,1.069
Baseline_NoOp,COCO_val2014_000000036409.jpg,2.341
Baseline_NoOp,COCO_val2014_000000036487.jpg,0.185
Baseline_NoOp,COCO_val2014_000000036661.jpg,0.726
Baseline_NoOp,COCO_val2014_000000036761.jpg,0.889
Baseline_NoOp,COCO_val2014_000000036810.jpg,0.757
Baseline_NoOp,COCO_val2014_000000036810.jpg,0.293
Baseline_NoOp,COCO_val2014_000000037322.jpg,0.907
Baseline_NoOp,COCO_val2014_000000037339.jpg,0.689
Baseline_NoOp,COCO_val2014_000000037629.jpg,0.827
Baseline_NoOp,COCO_val2014_000000037671.jpg,0.833
Baseline_NoOp,COCO_val2014_000000037709.jpg,0.464
Baseline_NoOp,COCO_val2014_000000037751.jpg,0.914
Baseline_NoOp,COCO_val2014_000000037783.jpg,0.831
Baseline_NoOp,COCO_val2014_000000037958.jpg,0.767
Baseline_NoOp,COCO_val2014_000000038465.jpg,0.407
Baseline_NoOp,COCO_val2014_000000038488.jpg,0.535
Baseline_NoOp,COCO_val2014_000000038540.jpg,0.709
Baseline_NoOp,COCO_val2014_000000038540.jpg,0.254
Baseline_NoOp,COCO_val2014_000000038586.jpg,0.591
Baseline_NoOp,COCO_val2014_000000038829.jpg,0.793
Baseline_NoOp,COCO_val2014_000000038875.jpg,0.786
Baseline_NoOp,COCO_val2014_000000039480.jpg,0.370
Baseline_NoOp,COCO_val2014_000000039628.jpg,0.677
Baseline_NoOp,COCO_val2014_000000039718.jpg,0.514
Baseline_NoOp,COCO_val2014_000000039865.jpg,0.800
Baseline_NoOp,COCO_val2014_000000039951.jpg,0.391
Baseline_NoOp,COCO_val2014_000000040011.jpg,0.884
Baseline_NoOp,COCO_val2014_000000040341.jpg,0.859
Baseline_NoOp,COCO_val2014_000000040446.jpg,0.840
Baseline_NoOp,COCO_val2014_000000040711.jpg,0.408
Baseline_NoOp,COCO_val2014_000000041180.jpg,0.752
Baseline_NoOp,COCO_val2014_000000041199.jpg,0.550
Baseline_NoOp,COCO_val2014_000000041200.jpg,0.932
Baseline_NoOp,COCO_val2014_000000042482.jpg,1.067
Baseline_NoOp,COCO_val2014_000000043092.jpg,0.527
Baseline_NoOp,COCO_val2014_000000043170.jpg,1.168
Baseline_NoOp,COCO_val2014_000000043218.jpg,0.455
Baseline_NoOp,COCO_val2014_000000043218.jpg,0.161
Baseline_NoOp,COCO_val2014_000000043670.jpg,1.043
Baseline_NoOp,COCO_val2014_000000043670.jpg,1.095
Baseline_NoOp,COCO_val2014_000000043673.jpg,0.682
Baseline_NoOp,COCO_val2014_000000043816.jpg,1.082
Baseline_NoOp,COCO_val2014_000000043816.jpg,0.608
Baseline_NoOp,COCO_val2014_000000043838.jpg,0.683
Baseline_NoOp,COCO_val2014_000000043944.jpg,0.664
Baseline_NoOp,COCO_val2014_000000043997.jpg,0.363
Baseline_NoOp,COCO_val2014_000000044045.jpg,0.816
Baseline_NoOp,COCO_val2014_000000044081.jpg,0.603
Baseline_NoOp,COCO_val2014_000000044361.jpg,0.563
Baseline_NoOp,COCO_val2014_000000044476.jpg,1.195
Baseline_NoOp,COCO_val2014_000000044478.jpg,0.392
Baseline_NoOp,COCO_val2014_000000044520.jpg,0.510
Baseline_NoOp,COCO_val2014_000000044612.jpg,0.971
Baseline_NoOp,COCO_val2014_000000044800.jpg,0.685
Baseline_NoOp,COCO_val2014_000000044800.jpg,0.431
Baseline_NoOp,COCO_val2014_000000044802.jpg,1.098
Baseline_NoOp,COCO_val2014_000000044934.jpg,1.863
Baseline_NoOp,COCO_val2014_000000045105.jpg,2.215
Baseline_NoOp,COCO_val2014_000000045516.jpg,0.490
Baseline_NoOp,COCO_val2014_000000045586.jpg,0.429
Baseline_NoOp,COCO_val2014_000000045626.jpg,0.539
Baseline_NoOp,COCO_val2014_000000045626.jpg,0.190
Baseline_NoOp,COCO_val2014_000000045644.jpg,0.722
Baseline_NoOp,COCO_val2014_000000045644.jpg,0.266
