sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
100021_103_1,646,179,308,158,97,20,117,32,65,0,0.00011920
100021_103_2,867,188,559,119,98,23,121,33,65,0,0.00012700
100021_103_3,709,181,406,121,100,21,121,35,65,0,0.00012340
100037_80_1,644,195,330,119,97,16,113,32,65,0,0.00010960
100037_80_2,704,193,333,177,99,31,130,34,65,0,0.00014680
