technique,avg_time_ms,samples
Baseline_NoOp,0.173,1000
Bmp,0.893,1000
Jpeg_Q85,1.142,1000
Grayscale,1.304,1000
Downsampler,2.050,1000
WebP_Lossy_Q75,20.422,1000
SalientRoi+GlobalThumb,26.460,1000
GazeRoi+GlobalThumb,41.985,1000
YoloV12SalientRoi+GlobalThumb,237.507,1000
