sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,1787,177,920,689,99,28,127,34,65,0,0.00013960
235536_93_1,1027,185,727,114,97,12,109,32,65,0,0.00010000
548183_82_1,753,191,401,161,94,27,121,29,65,0,0.00013420
61460_4_1,936,199,539,197,107,37,144,42,65,0,0.00016600
153249_69_1,609,205,292,111,97,16,113,32,65,0,0.00010960
20245_103_all,625,174,330,120,97,22,119,32,65,0,0.00012400
192259_1_2,838,217,499,120,95,14,109,30,65,0,0.00010360
99265_8_all,945,200,584,159,99,31,130,34,65,0,0.00014680
71322_22_2,619,195,305,117,101,23,124,36,65,0,0.00012880
499700_100_3,1341,280,900,160,98,22,120,33,65,0,0.00012460
