sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
100021_103_1,578,170,274,133,97,24,121,32,65,0,0.00012880
100021_103_2,600,177,263,159,98,32,130,33,65,0,0.00014860
100021_103_3,860,188,547,124,100,24,124,35,65,0,0.00013060
100037_80_1,674,176,375,122,97,16,113,32,65,0,0.00010960
100037_80_2,609,194,290,124,99,24,123,34,65,0,0.00013000
