technique,avg_time_ms,samples
Baseline_NoOp,0.173,1000
Bmp,0.906,1000
Jpeg_Q85,1.088,1000
Grayscale,1.274,1000
Downsampler,1.957,1000
WebP_Lossy_Q75,18.528,1000
SalientRoi+GlobalThumb,24.027,1000
GazeRoi+GlobalThumb,37.719,1000
YoloV12SalientRoi+GlobalThumb,222.827,1000
