technique,image_id,original_pixels_w,original_pixels_h,processed_pixels_w,processed_pixels_h,processed_pixels_total,payload_image_count,original_binary_bytes,processed_binary_bytes,compression_ratio,base64_chars_total,base64_bytes_utf8_total,data_url_bytes_utf8_total,json_bytes_utf8
Baseline_NoOp,100395_45_2.jpg,224,224,224,224,50176,1,13457,13457,1.000000,17944,17944,17967,19748
Baseline_NoOp,100395_45_3.jpg,224,224,224,224,50176,1,13457,13457,1.000000,17944,17944,17967,19748
Baseline_NoOp,100395_45_4.jpg,224,224,224,224,50176,1,13457,13457,1.000000,17944,17944,17967,19748
Baseline_NoOp,100396_53_1.jpg,224,224,224,224,50176,1,22696,22696,1.000000,30264,30264,30287,33368
Baseline_NoOp,100396_53_2.jpg,224,224,224,224,50176,1,22696,22696,1.000000,30264,30264,30287,33368
Baseline_NoOp,100396_53_3.jpg,224,224,224,224,50176,1,22696,22696,1.000000,30264,30264,30287,33368
Baseline_NoOp,100396_53_all.jpg,224,224,224,224,50176,1,22696,22696,1.000000,30264,30264,30287,33368
Baseline_NoOp,100407_48_1.jpg,224,224,224,224,50176,1,19006,19006,1.000000,25344,25344,25367,27833
Baseline_NoOp,100407_48_2.jpg,224,224,224,224,50176,1,19006,19006,1.000000,25344,25344,25367,27833
Baseline_NoOp,100407_48_3.jpg,224,224,224,224,50176,1,19006,19006,1.000000,25344,25344,25367,27833
Baseline_NoOp,100409_6_1.jpg,224,224,224,224,50176,1,16565,16565,1.000000,22088,22088,22111,24207
Baseline_NoOp,100409_6_2.jpg,224,224,224,224,50176,1,16565,16565,1.000000,22088,22088,22111,24207
Baseline_NoOp,100409_6_3.jpg,224,224,224,224,50176,1,16565,16565,1.000000,22088,22088,22111,24207
Baseline_NoOp,100413_53_1.jpg,224,224,224,224,50176,1,22546,22546,1.000000,30064,30064,30087,32123
Baseline_NoOp,100413_53_2.jpg,224,224,224,224,50176,1,22546,22546,1.000000,30064,30064,30087,32123
Baseline_NoOp,100482_51_1.jpg,224,224,224,224,50176,1,14428,14428,1.000000,19240,19240,19263,20794
Baseline_NoOp,100482_51_all.jpg,224,224,224,224,50176,1,14428,14428,1.000000,19240,19240,19263,20794
Baseline_NoOp,100485_68_1.jpg,224,224,224,224,50176,1,17241,17241,1.000000,22988,22988,23011,25027
Baseline_NoOp,100485_68_2.jpg,224,224,224,224,50176,1,17241,17241,1.000000,22988,22988,23011,25027
Baseline_NoOp,100485_68_3.jpg,224,224,224,224,50176,1,17241,17241,1.000000,22988,22988,23011,25027
Baseline_NoOp,100486_82_1.jpg,224,224,224,224,50176,1,15999,15999,1.000000,21332,21332,21355,22956
Baseline_NoOp,100486_82_2.jpg,224,224,224,224,50176,1,15999,15999,1.000000,21332,21332,21355,22956
Baseline_NoOp,100486_82_3.jpg,224,224,224,224,50176,1,15999,15999,1.000000,21332,21332,21355,22956
Baseline_NoOp,100486_82_4.jpg,224,224,224,224,50176,1,15999,15999,1.000000,21332,21332,21355,22956
Baseline_NoOp,100486_82_all.jpg,224,224,224,224,50176,1,15999,15999,1.000000,21332,21332,21355,22956
Baseline_NoOp,100539_47_1.jpg,224,224,224,224,50176,1,27823,27823,1.000000,37100,37100,37123,40109
Baseline_NoOp,100539_47_2.jpg,224,224,224,224,50176,1,27823,27823,1.000000,37100,37100,37123,40109
Baseline_NoOp,100539_47_3.jpg,224,224,224,224,50176,1,27823,27823,1.000000,37100,37100,37123,40109
Baseline_NoOp,100539_47_6.jpg,224,224,224,224,50176,1,27823,27823,1.000000,37100,37100,37123,40109
Baseline_NoOp,100564_62_1.jpg,224,224,224,224,50176,1,21437,21437,1.000000,28584,28584,28607,31283
Baseline_NoOp,100564_62_2.jpg,224,224,224,224,50176,1,21437,21437,1.000000,28584,28584,28607,31283
Baseline_NoOp,100564_62_3.jpg,224,224,224,224,50176,1,21437,21437,1.000000,28584,28584,28607,31283
Baseline_NoOp,100564_62_all.jpg,224,224,224,224,50176,1,21437,21437,1.000000,28584,28584,28607,31283
