preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,1991,396,1482,112,94,14,108,29,65,0,0.00010300
Baseline_NoOp,387002,1255,644,480,130,100,16,116,35,65,0,0.00011140
Baseline_NoOp,486003,2550,681,1701,167,96,11,107,31,65,0,0.00009700
Baseline_NoOp,699002,771,200,452,118,94,14,108,29,65,0,0.00010300
Baseline_NoOp,1000004,1982,606,1008,367,95,28,123,30,65,0,0.00013720
Downsampler,338002,627,161,344,120,94,14,108,29,65,0,0.00010300
Downsampler,387002,549,151,278,119,100,16,116,35,65,0,0.00011140
Downsampler,486003,531,152,253,125,96,11,107,31,65,0,0.00009700
Downsampler,699002,536,155,261,119,94,9,103,29,65,0,0.00009100
Downsampler,1000004,536,167,251,118,95,12,107,30,65,0,0.00009880
Grayscale,338002,876,327,399,149,94,21,115,29,65,0,0.00011980
Grayscale,387002,1072,421,532,118,100,16,116,35,65,0,0.00011140
Grayscale,486003,770,385,272,112,96,11,107,31,65,0,0.00009700
Grayscale,699002,3687,182,3388,116,94,14,108,29,65,0,0.00010300
Grayscale,1000004,933,435,378,119,95,17,112,30,65,0,0.00011080
Jpeg_Q85,338002,890,351,261,276,94,22,116,29,65,0,0.00012220
Jpeg_Q85,387002,1016,513,379,123,100,15,115,35,65,0,0.00010900
Jpeg_Q85,486003,976,471,379,124,96,11,107,31,65,0,0.00009700
Jpeg_Q85,699002,584,178,288,117,94,11,105,29,65,0,0.00009580
Jpeg_Q85,1000004,921,521,272,127,95,25,120,30,65,0,0.00013000
WebP_Lossy_Q85,338002,736,409,201,125,94,20,114,29,65,0,0.00011740
WebP_Lossy_Q85,387002,901,454,335,112,100,14,114,35,65,0,0.00010660
WebP_Lossy_Q85,486003,728,372,236,118,96,11,107,31,65,0,0.00009700
WebP_Lossy_Q85,699002,537,227,197,112,94,9,103,29,65,0,0.00009100
WebP_Lossy_Q85,1000004,1048,515,284,248,95,18,113,30,65,0,0.00011320
GazeRoi+GlobalThumb,338002,834,405,310,118,94,18,112,29,65,0,0.00011260
GazeRoi+GlobalThumb,387002,995,516,354,125,100,16,116,35,65,0,0.00011140
GazeRoi+GlobalThumb,486003,1294,688,492,113,96,11,107,31,65,0,0.00009700
GazeRoi+GlobalThumb,699002,4029,195,3725,108,94,7,101,29,65,0,0.00008620
GazeRoi+GlobalThumb,1000004,1343,693,517,132,95,17,112,30,65,0,0.00011080
SalientRoi+GlobalThumb,338002,885,416,349,120,94,17,111,29,65,0,0.00011020
SalientRoi+GlobalThumb,387002,1282,509,561,210,100,14,114,35,65,0,0.00010660
SalientRoi+GlobalThumb,486003,4263,723,3441,98,96,11,107,31,65,0,0.00009700
SalientRoi+GlobalThumb,699002,898,191,593,113,94,7,101,29,65,0,0.00008620
SalientRoi+GlobalThumb,1000004,1462,628,714,119,95,17,112,30,65,0,0.00011080
YoloV12SalientRoi+GlobalThumb,338002,904,339,446,118,94,15,109,29,65,0,0.00010540
YoloV12SalientRoi+GlobalThumb,387002,1381,489,772,119,100,14,114,35,65,0,0.00010660
YoloV12SalientRoi+GlobalThumb,486003,1294,450,724,119,96,11,107,31,65,0,0.00009700
YoloV12SalientRoi+GlobalThumb,699002,812,191,497,124,94,7,101,29,65,0,0.00008620
YoloV12SalientRoi+GlobalThumb,1000004,995,533,341,120,95,18,113,30,65,0,0.00011320
