sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
100021_103_1,604,206,285,112,97,19,116,32,65,0,0.00011680
100021_103_2,1028,244,680,103,98,23,121,33,65,0,0.00012700
100021_103_3,622,205,270,146,100,32,132,35,65,0,0.00014980
100037_80_1,744,219,412,112,97,16,113,32,65,0,0.00010960
100037_80_2,606,290,173,142,99,16,115,34,65,0,0.00011080
