preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,1052,393,645,14,532,3,535,209,323,192,0.00040252
Baseline_NoOp,387002,913,518,380,14,538,3,541,215,323,192,0.00040612
Baseline_NoOp,486003,1639,628,995,15,534,3,537,211,323,192,0.00040372
Baseline_NoOp,699002,941,207,717,16,393,3,396,199,194,192,0.00029332
Baseline_NoOp,1000004,1079,612,452,14,533,3,536,210,323,192,0.00040312
Baseline_NoOp,1205000,1137,619,499,18,534,4,538,211,323,192,0.00040612
Baseline_NoOp,1342027,988,455,516,16,533,3,536,210,323,192,0.00040312
Baseline_NoOp,1342078,784,430,342,11,537,3,540,214,323,192,0.00040552
Baseline_NoOp,1398001,1005,549,439,16,398,3,401,204,194,192,0.00029632
Baseline_NoOp,1503002,594,186,393,14,392,3,395,198,194,192,0.00029272
Baseline_NoOp,1503003,579,219,341,18,403,3,406,209,194,192,0.00029932
Baseline_NoOp,1525025,1215,486,721,7,534,3,537,211,323,243,0.00040678
Baseline_NoOp,2006001,1290,806,470,14,533,4,537,210,323,192,0.00040552
Baseline_NoOp,2295000,1156,681,462,13,536,3,539,213,323,192,0.00040492
Baseline_NoOp,3255000,976,486,474,15,538,3,541,215,323,192,0.00040612
Baseline_NoOp,3378000,1023,442,567,13,533,3,536,210,323,0,0.00039160
Baseline_NoOp,3693000,2197,418,1761,17,533,4,537,210,323,192,0.00040552
Baseline_NoOp,3703001,2377,626,1732,18,532,4,536,209,323,0,0.00039340
Baseline_NoOp,3711010,800,433,355,12,533,3,536,210,323,0,0.00039160
Baseline_NoOp,3716000,1268,612,629,26,531,3,534,208,323,192,0.00040192
Baseline_NoOp,3742003,1336,491,823,21,533,4,537,210,323,192,0.00040552
Baseline_NoOp,3939000,877,495,367,14,396,3,399,202,194,0,0.00028360
Baseline_NoOp,3939001,872,501,358,13,394,3,397,200,194,0,0.00028240
Baseline_NoOp,3939002,865,483,365,17,395,3,398,201,194,0,0.00028300
Baseline_NoOp,3947006,1237,505,713,19,395,4,399,201,194,243,0.00029998
Baseline_NoOp,3983001,1059,478,524,56,536,4,540,213,323,0,0.00039580
Baseline_NoOp,4265001,1002,575,409,17,533,4,537,210,323,192,0.00040552
Baseline_NoOp,4554002,733,414,299,19,394,4,398,200,194,0,0.00028480
Baseline_NoOp,5060000,925,512,397,15,537,3,540,214,323,0,0.00039400
Baseline_NoOp,5123004,1097,462,605,30,534,4,538,211,323,0,0.00039460
Baseline_NoOp,5385001,1009,594,398,15,534,3,537,211,323,192,0.00040372
Baseline_NoOp,5388002,1288,632,638,17,531,4,535,208,323,246,0.00040756
Baseline_NoOp,5486002,2317,610,1690,15,532,3,535,209,323,192,0.00040252
Baseline_NoOp,5502000,1628,524,1068,34,534,3,537,211,323,243,0.00040678
Baseline_NoOp,5652001,789,430,348,10,536,3,539,213,323,0,0.00039340
Baseline_NoOp,5694002,1208,493,682,32,531,5,536,208,323,0,0.00039520
Baseline_NoOp,5816002,1001,668,311,21,534,3,537,211,323,192,0.00040372
Baseline_NoOp,5992000,1002,617,369,15,532,3,535,209,323,0,0.00039100
Baseline_NoOp,6040004,935,508,423,3,536,3,539,213,323,192,0.00040492
Baseline_NoOp,6471007,744,412,316,15,393,3,396,199,194,192,0.00029332
Baseline_NoOp,6580000,1109,601,493,14,533,3,536,210,323,192,0.00040312
Baseline_NoOp,6580003,1178,631,533,14,534,3,537,211,323,192,0.00040372
Baseline_NoOp,6771003,1213,493,705,14,532,3,535,209,323,245,0.00040570
Baseline_NoOp,6871002,1936,550,1372,13,531,3,534,208,323,0,0.00039040
Baseline_NoOp,7072001,2239,602,1617,19,395,4,399,201,194,192,0.00029692
Baseline_NoOp,7570002,2019,1593,399,26,532,3,535,209,323,0,0.00039100
Baseline_NoOp,7726000,2610,2213,381,15,533,3,536,210,323,192,0.00040312
Baseline_NoOp,7938001,8118,6375,1723,20,531,3,534,208,323,0,0.00039040
Baseline_NoOp,7938006,1029,520,495,13,541,3,544,218,323,0,0.00039640
Baseline_NoOp,7938007,1013,499,487,25,537,3,540,214,323,192,0.00040552
Downsampler,338002,568,206,334,26,393,4,397,199,194,0,0.00028420
Downsampler,387002,455,161,275,19,399,3,402,205,194,0,0.00028540
Downsampler,486003,455,166,269,19,395,3,398,201,194,0,0.00028300
Downsampler,699002,455,165,270,19,393,3,396,199,194,192,0.00029332
Downsampler,1000004,476,237,213,25,394,3,397,200,194,0,0.00028240
Downsampler,1205000,474,153,301,18,395,4,399,201,194,0,0.00028540
Downsampler,1342027,431,147,264,19,394,3,397,200,194,0,0.00028240
Downsampler,1342078,734,161,554,18,398,3,401,204,194,0,0.00028480
Downsampler,1398001,501,153,333,14,398,3,401,204,194,0,0.00028480
Downsampler,1503002,424,171,237,15,392,3,395,198,194,192,0.00029272
Downsampler,1503003,419,156,245,17,403,3,406,209,194,0,0.00028780
Downsampler,1525025,495,167,301,26,395,3,398,201,194,0,0.00028300
Downsampler,2006001,670,165,484,20,394,4,398,200,194,192,0.00029632
Downsampler,2295000,462,159,290,12,397,3,400,203,194,0,0.00028420
Downsampler,3255000,679,154,511,13,399,3,402,205,194,0,0.00028540
