sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,999,160,719,119,102,18,120,37,65,0,0.00011740
428305_69_3,729,165,435,128,97,23,120,32,65,0,0.00012640
286212_91_4,698,160,372,165,96,22,118,31,65,0,0.00012340
58079_34_1,601,142,339,119,100,15,115,35,65,0,0.00010900
119579_102_1,574,148,303,122,97,11,108,32,65,0,0.00009760
464196_74_all,1232,148,964,118,99,16,115,34,65,0,0.00011080
74478_76_1,1206,158,916,132,99,25,124,34,65,0,0.00013240
235843_97_2,783,159,509,114,94,19,113,29,65,0,0.00011500
449075_36_3,648,148,387,112,96,15,111,31,65,0,0.00010660
430643_0_3,1145,165,854,125,102,11,113,37,65,0,0.00010060
